v 22.2764 -2.734864 11.10596
v 24.08228 77.01349 48.78245
v 23.5986 -2.734864 49.26371
v 23.46268 77.01349 10.6247
v -22.2764 -2.734864 11.10596
v -24.08228 77.01349 48.78245
v -23.5986 -2.734864 49.26371
v -23.46268 77.01349 10.6247
v 0 76.87292 11.15554
v 0 -3.301535 11.15554
v 0 -3.301535 49.31329
v 0 76.87292 49.31329
v 0 -.4205688 -10.68435
v 15.49555 -113.9317 -17.75727
v 0 -111.0363 -5.583341
v 22.9012 0 -27.569
v -15.49555 -113.9317 -17.75727
v -22.9012 0 -27.569
v 0 144.1389 -12.15629
v 22.21751 146.2397 -26.64332
v -22.21751 146.2397 -26.64332
v 0 -221.3645 56.60122
v 0 -216.0471 94.4304
v 0 -238.7306 93.50833
v 0 -178.925 67.40536
v 0 -218.067 30.13969
v 0 -159.9297 33.8102
v 0 -215.7839 2.908581
v 0 -150.2171 0
v -15.761 -114.9226 -30.84867
v 0 -252.7764 -10.74135
v 0 -250.9407 .8683068
v 15.761 -114.9226 -30.84867
v 0 -117.1797 -42.02203
v -.0688425 -.1472063 -59.71824
v 0 144.1389 -60.94409
v -22.82596 147.1265 -46.25488
v 0 176.4289 -29.52243
v 0 176.4289 -43.68636
v 22.82596 147.1265 -46.25488
v 22.1413 0 -44.87989
v -22.1413 0 -44.87989
v -108.5384 -167.5832 0
v -140.6657 -214.4718 0
v -65.99132 -200.5789 0
v -138.0608 -195.369 0
v 108.5384 -167.5832 0
v 140.6657 -214.4718 0
v 65.99132 -200.5789 0
v 138.0608 -195.369 0
v -44.28365 -152.822 0
v -35.94762 -198.207 0
v 44.28365 -152.822 0
v 35.94762 -198.207 0
v 0 -195.369 0
v -227.0452 2.089095 11.21095
v -293.6869 21.52091 12.14652
v -305.8432 -28.72487 12.14652
v -226.5799 56.32169 11.21095
v 227.0452 2.089095 11.21095
v 293.6869 21.52091 12.14652
v 305.8432 -28.72487 12.14652
v 226.5799 56.32169 11.21095
v -107.8274 18.99097 5.949488
v -107.8735 73.44702 4.729055
v 107.8274 18.99097 5.949488
v 107.8735 73.44702 4.729055
v 0 22.57598 0
v 0 76.411 0
f 3 255 0 0 0 1 2
f 3 255 0 0 3 1 0
f 3 255 0 0 4 5 6
f 3 255 0 0 7 5 4
f 3 255 0 0 0 8 3
f 3 255 0 0 9 8 0
f 3 255 0 0 4 8 7
f 3 255 0 0 9 8 4
f 3 255 0 0 10 0 2
f 3 255 0 0 9 0 10
f 3 255 0 0 10 4 6
f 3 255 0 0 9 4 10
f 3 255 0 0 11 2 1
f 3 255 0 0 10 2 11
f 3 255 0 0 11 6 5
f 3 255 0 0 10 6 11
f 3 255 0 0 8 1 3
f 3 255 0 0 11 1 8
f 3 255 0 0 8 5 7
f 3 255 0 0 11 5 8
f 3 255 0 0 10 11 9
f 3 255 0 0 9 11 8
f 3 255 0 0 12 13 14
f 3 255 0 0 15 13 12
f 3 255 0 0 16 12 14
f 3 255 0 0 17 12 16
f 3 255 0 0 12 18 15
f 3 255 0 0 15 18 19
f 3 255 0 0 12 17 18
f 3 255 0 0 18 17 20
f 3 255 0 0 21 22 23
f 3 255 0 0 24 22 21
f 3 255 0 0 25 24 21
f 3 255 0 0 26 24 25
f 3 255 0 0 27 26 25
f 3 255 0 0 28 26 27
f 3 255 0 0 29 16 30
f 3 255 0 0 30 16 31
f 3 255 0 0 30 13 32
f 3 255 0 0 31 13 30
f 3 255 0 0 33 34 34
f 3 255 0 0 34 34 35
f 3 255 0 0 20 36 37
f 3 255 0 0 37 36 38
f 3 255 0 0 37 39 19
f 3 255 0 0 38 39 37
f 3 255 0 0 40 33 32
f 3 255 0 0 34 33 40
f 3 255 0 0 39 35 40
f 3 255 0 0 40 35 34
f 3 255 0 0 29 33 41
f 3 255 0 0 41 33 34
f 3 255 0 0 41 35 36
f 3 255 0 0 34 35 41
f 3 255 0 0 15 32 13
f 3 255 0 0 40 32 15
f 3 255 0 0 39 40 19
f 3 255 0 0 19 40 15
f 3 255 0 0 16 29 17
f 3 255 0 0 17 29 41
f 3 255 0 0 20 41 36
f 3 255 0 0 17 41 20
f 3 255 0 0 42 43 44
f 3 255 0 0 45 43 42
f 3 255 0 0 46 47 48
f 3 255 0 0 49 47 46
f 3 255 0 0 50 44 51
f 3 255 0 0 42 44 50
f 3 255 0 0 52 48 53
f 3 255 0 0 46 48 52
f 3 255 0 0 28 51 54
f 3 255 0 0 50 51 28
f 3 255 0 0 28 53 54
f 3 255 0 0 52 53 28
f 3 255 0 0 55 56 57
f 3 255 0 0 58 56 55
f 3 255 0 0 59 60 61
f 3 255 0 0 62 60 59
f 3 255 0 0 63 58 55
f 3 255 0 0 64 58 63
f 3 255 0 0 65 62 59
f 3 255 0 0 66 62 65
f 3 255 0 0 67 64 63
f 3 255 0 0 68 64 67
f 3 255 0 0 67 66 65
f 3 255 0 0 68 66 67
f 3 255 0 0 29 30 33
f 3 255 0 0 33 30 32
f 3 255 0 0 31 16 14
f 3 255 0 0 14 13 31
f 3 255 0 0 38 36 35
f 3 255 0 0 35 39 38
f 3 255 0 0 37 19 18
f 3 255 0 0 18 20 37
